tracking_id,origin,destination,carrier,weight_kg,ship_date,status
TRK0000001,Shenzhen,London,DHL,60.8,2025-09-15,in_transit
TRK0000002,Los Angeles,New York,MSC,485.1,2025-10-09,in_transit
TRK0000003,Mumbai,London,UPS,347.0,2023-02-03,delayed
TRK0000004,Dubai,Tokyo,FedEx,151.1,2024-06-06,returned
TRK0000005,Singapore,Dubai,Maersk,56.3,2025-05-08,customs
TRK0000006,Los Angeles,Hamburg,UPS,86.1,2024-06-19,in_transit
TRK0000007,Los Angeles,Singapore,CMA CGM,283.6,2025-04-07,customs
TRK0000008,Dubai,London,FedEx,317.4,2025-06-14,delivered
TRK0000009,Dubai,New York,DHL,49.7,2023-09-30,in_transit
TRK0000010,Dubai,Dubai,MSC,60.3,2023-04-19,returned
TRK0000011,Mumbai,London,UPS,171.2,2023-05-31,delayed
TRK0000012,Rotterdam,Singapore,DHL,385.0,2024-05-08,delivered
TRK0000013,Singapore,Sydney,CMA CGM,341.4,2025-07-21,delivered
TRK0000014,Singapore,Tokyo,COSCO,4.0,2023-10-02,delayed
TRK0000015,Singapore,Mumbai,COSCO,255.9,2024-05-08,in_transit
TRK0000016,Mumbai,Sydney,DHL,66.2,2023-12-01,customs
TRK0000017,Los Angeles,Singapore,COSCO,92.2,2023-04-11,customs
TRK0000018,Mumbai,Dubai,COSCO,101.7,2025-06-14,returned
TRK0000019,Dubai,Sydney,DHL,49.6,2025-02-27,in_transit
TRK0000020,Shenzhen,Sydney,MSC,465.6,2023-07-02,customs
TRK0000021,Shanghai,Tokyo,COSCO,82.8,2024-07-15,customs
TRK0000022,Rotterdam,Tokyo,DHL,92.3,2024-01-24,customs
TRK0000023,Shenzhen,Tokyo,CMA CGM,357.6,2024-06-05,in_transit
TRK0000024,Shenzhen,Tokyo,Evergreen,130.2,2023-08-19,returned
TRK0000025,Singapore,Tokyo,COSCO,61.1,2024-09-12,in_transit
TRK0000026,Shanghai,New York,Maersk,9.3,2025-02-03,delivered
TRK0000027,Dubai,London,DHL,312.6,2024-06-05,delivered
TRK0000028,Hamburg,Singapore,Maersk,135.9,2024-06-16,in_transit
TRK0000029,Dubai,New York,Evergreen,161.6,2024-02-24,delivered
TRK0000030,Rotterdam,Tokyo,Maersk,268.0,2025-08-17,delivered
TRK0000031,Mumbai,Tokyo,FedEx,39.2,2023-03-09,in_transit
TRK0000032,Singapore,London,Evergreen,462.7,2024-02-24,delayed
TRK0000033,Shenzhen,Mumbai,FedEx,97.4,2024-05-01,returned
TRK0000034,Los Angeles,London,FedEx,316.4,2025-08-21,delayed
TRK0000035,Shanghai,Dubai,MSC,425.3,2023-08-18,customs
TRK0000036,Singapore,Sydney,UPS,40.8,2025-11-12,delayed
TRK0000037,Los Angeles,New York,DHL,359.7,2023-03-04,customs
TRK0000038,Hamburg,Hamburg,DHL,152.8,2024-03-01,customs
TRK0000039,Rotterdam,Sydney,COSCO,330.3,2025-08-29,customs
TRK0000040,Rotterdam,Singapore,CMA CGM,0.8,2024-01-17,delivered
TRK0000041,Los Angeles,London,FedEx,360.5,2023-11-03,delivered
TRK0000042,Singapore,Singapore,UPS,167.7,2023-12-05,delayed
TRK0000043,Rotterdam,London,MSC,370.3,2023-11-20,in_transit
TRK0000044,Los Angeles,Hamburg,Evergreen,128.8,2025-10-30,in_transit
TRK0000045,Dubai,London,MSC,423.6,2024-09-10,delayed
TRK0000046,Hamburg,Tokyo,COSCO,15.0,2023-10-20,delayed
TRK0000047,Singapore,London,DHL,303.2,2024-05-18,in_transit
TRK0000048,Shenzhen,Tokyo,DHL,179.9,2024-04-26,delivered
TRK0000049,Mumbai,Tokyo,Maersk,3.5,2025-03-04,delayed
TRK0000050,Singapore,Sydney,COSCO,403.6,2025-09-16,in_transit
